,Name,District,Address,Price ($) p/m,Size (m2),Price per m2,Link,Longitude,Latitude
40,Tong Eng Building,D1,Cecil St,6380,1227,5.2,https://www.99.co/singapore/commercial/rent/property/tong-eng-building-office-sironeS8sMt6jvuK2opMai#enquiry_source--Search,103.84836,1.27945
41,The Adelphi,D6,Coleman St,2200,300,7.33,https://www.99.co/singapore/commercial/rent/property/the-adelphi-office-axRktwwRgF5JA4CWkbHAkG#enquiry_source--Search,103.85198,1.29109
42,Peninsula Plaza,D6,Nth Bridge Rd,9412,1776,5.3,https://www.99.co/singapore/commercial/rent/property/peninsula-plaza-office-dUWV2EEbPzQmAX5VHsonvJ#enquiry_source--Search,103.84465,1.42327
44,The Heeren,D9,Orchard Rd,9000,732,12.3,https://www.99.co/singapore/commercial/rent/property/the-heeren-office-ZgAqBdQkbYEmuvELX24AZw#enquiry_source--Search,103.84812,1.29765
47,Six Battery Road,D1,Battery Rd,156000,12000,13.0,https://www.99.co/singapore/commercial/rent/property/six-battery-road-office-3HGfqmfsTcTToPnZEhf5U9#enquiry_source--Search,103.85309,1.28511
65,The Central,D1,Eu Tong Sen St,5500,850,6.47,https://www.99.co/singapore/commercial/rent/property/the-central-office-YCwRuxafxbpS5xqyScs98M#enquiry_source--Search,103.84796,1.2892
68,Tat Ann Building,D20,Jln Pemimpin,1200,370,3.24,https://www.99.co/singapore/commercial/rent/property/tat-ann-building-office-jJ6QpR8eQ52si96y94eXLK#enquiry_source--Search,103.84108,1.34868
69,Havelock2,D1,Havelock Rd,11151,1593,7.0,https://www.99.co/singapore/commercial/rent/property/havelock2-office-c2eNo9w9ML8pLVU9SSR5vF#enquiry_source--Search,103.84527,1.28711
70,New Bridge Road,D1,New Bridge Rd,12000,1373,8.74,https://www.99.co/singapore/commercial/rent/property/new-bridge-road-office-f4HGxZB8mGL8a6bsqicg4F#enquiry_source--Search,103.84088,1.28088
71,International Building,D9,Orchard Rd,2700,301,8.97,https://www.99.co/singapore/commercial/rent/property/international-building-office-LgtwYNRQDNKWwXqqnFeSYG#enquiry_source--Search,103.84812,1.29765
75,ESR Bizpark @ Changi,D16,Changi Business Pk Ave 1,109849,24411,4.5,https://www.99.co/singapore/commercial/rent/property/esr-bizpark-changi-office-CQEWPncyVem9N82meF53ny#enquiry_source--Search,103.96652,1.33567
76,Singapore Post Centre,D14,Eunos Rd 8,26000,4000,6.5,https://www.99.co/singapore/commercial/rent/property/singapore-post-centre-office-ZhfBSgwN8sooCsHocDnysf#enquiry_source--Search,103.89312,1.31887
77,Serangoon Road,D8,Serangoon Rd,4500,700,6.43,https://www.99.co/singapore/commercial/rent/property/serangoon-road-office-WJTXacGYk2nceTGU67MFe9#enquiry_source--Search,103.87303,1.34541
80,Chye Sing Building,D7,Beach Rd,7500,1700,4.41,https://www.99.co/singapore/commercial/rent/property/chye-sing-building-office-fvzWkGkF54xeCvSqTzU45S#enquiry_source--Search,103.86454,1.30348
81,Anson Road,D2,Anson Rd,11865,1582,7.5,https://www.99.co/singapore/commercial/rent/property/anson-road-office-NRpjszgfeXDULJ6gM2J2xx#enquiry_source--Search,103.90125,1.31923
